condition,k,fold_index,pr_auc
baseline,0,0,0.9592086083884512
baseline,0,1,0.9571033756405276
baseline,0,2,0.9822331567673186
baseline,0,3,0.9915302089215134
baseline,0,4,0.9821858940279995
baseline,0,5,0.9760026191246285
baseline,0,6,0.9880352034487374
baseline,0,7,0.9935916395543727
baseline,0,8,0.9893990929705216
baseline,0,9,0.9635499755457742
baseline,0,10,0.9055531675649089
baseline,0,11,0.9958592132505177
baseline,0,12,0.9958592132505177
baseline,0,13,0.9893990929705216
baseline,0,14,0.9514099501000706
baseline,0,15,0.9511268888911328
baseline,0,16,0.9713350831363257
baseline,0,17,0.9878364389233956
baseline,0,18,0.9327745298831103
baseline,0,19,0.9912106871734203
baseline,0,20,0.9844264069264068
baseline,0,21,0.9935916395543727
baseline,0,22,1.0000000000000002
baseline,0,23,0.9510594195965714
baseline,0,24,0.947791153572551
baseline,0,25,0.9568097139519482
baseline,0,26,0.9958592132505177
baseline,0,27,0.9061470806355718
baseline,0,28,0.9782949437084776
baseline,0,29,0.9931869717584005
baseline,0,30,0.9378214895081383
baseline,0,31,1.0000000000000002
baseline,0,32,0.9441553816553818
baseline,0,33,0.9955679241393529
baseline,0,34,0.9552489275764857
baseline,0,35,0.9663430264116761
baseline,0,36,1.0000000000000002
baseline,0,37,0.9814462042126795
baseline,0,38,0.9915302089215134
baseline,0,39,0.9560224231579733
baseline,0,40,0.9919815033451396
baseline,0,41,0.9869950615292231
baseline,0,42,0.99068070609424
baseline,0,43,0.9550145616344683
baseline,0,44,0.9493857716569387
baseline,0,45,0.9524234724432352
baseline,0,46,0.9261511123076804
baseline,0,47,0.9822631976767318
baseline,0,48,1.0000000000000002
baseline,0,49,0.9637216668452848
informed,1,0,0.9915203702753108
informed,1,1,0.9485342543672319
informed,1,2,0.9516520850764549
informed,1,3,0.9940476190476191
informed,1,4,0.9768033470698223
informed,1,5,0.9649358470780813
informed,1,6,0.9075108601686397
informed,1,7,0.9958592132505177
informed,1,8,0.9802017670438725
informed,1,9,0.9658868084113481
informed,1,10,0.9179286723696833
informed,1,11,0.9931869717584005
informed,1,12,0.997835497835498
informed,1,13,0.9775025977846008
informed,1,14,0.9364558110080006
informed,1,15,0.9792764731671992
informed,1,16,0.972268858355815
informed,1,17,1.0000000000000002
informed,1,18,0.8883638642875098
informed,1,19,0.9915302089215134
informed,1,20,0.9941460055096418
informed,1,21,0.9866429908764007
informed,1,22,0.9912106871734203
informed,1,23,0.939938001332296
informed,1,24,0.9385051262152104
informed,1,25,0.9275613349896104
informed,1,26,0.9880352034487374
informed,1,27,0.9076716018250643
informed,1,28,0.971894050017668
informed,1,29,0.9768033470698223
informed,1,30,0.9542646667917565
informed,1,31,1.0000000000000002
informed,1,32,0.8695367527437312
informed,1,33,0.9868928273063613
informed,1,34,0.9703453098411083
informed,1,35,0.914333922636765
informed,1,36,0.9958592132505177
informed,1,37,0.9583708445550552
informed,1,38,1.0000000000000002
informed,1,39,0.9720189251425431
informed,1,40,0.9744899736279045
informed,1,41,0.9869950615292231
informed,1,42,0.9873376623376624
informed,1,43,0.9412176546077475
informed,1,44,0.949758219147365
informed,1,45,0.9431712759626096
informed,1,46,0.894238863580296
informed,1,47,0.9774197722567288
informed,1,48,1.0000000000000002
informed,1,49,0.9577915276444688
informed,3,0,0.9649655743975518
informed,3,1,0.9179112542639649
informed,3,2,0.9592082598474059
informed,3,3,0.9814462042126795
informed,3,4,0.9419014785401341
informed,3,5,0.9712147203742791
informed,3,6,0.955022429574619
informed,3,7,0.9908424908424909
informed,3,8,0.9101428921379662
informed,3,9,0.9379773338386912
informed,3,10,0.9567907638830708
informed,3,11,0.98870442150926
informed,3,12,0.9756315385606005
informed,3,13,0.9575006469776965
informed,3,14,0.9208614522581724
informed,3,15,0.972999416890143
informed,3,16,0.9278838519293398
informed,3,17,1.0000000000000002
informed,3,18,0.9045932678469
informed,3,19,0.9294526134092089
informed,3,20,0.9930069930069929
informed,3,21,0.931482944873038
informed,3,22,0.9885749171463458
informed,3,23,0.8966477247993667
informed,3,24,0.9431571988396332
informed,3,25,0.9469113402936931
informed,3,26,0.9771070047647843
informed,3,27,0.8669096673428156
informed,3,28,0.9761904761904763
informed,3,29,0.9761093932522507
informed,3,30,0.9345804282108108
informed,3,31,0.9880352034487374
informed,3,32,0.9240017458116656
informed,3,33,0.9552362014204121
informed,3,34,0.9563680988964789
informed,3,35,0.9429665560338569
informed,3,36,0.9769463340891915
informed,3,37,0.9173260028582286
informed,3,38,1.0000000000000002
informed,3,39,0.9532500128197734
informed,3,40,0.927009401274107
informed,3,41,0.979042172771381
informed,3,42,0.9756315385606005
informed,3,43,0.9319880788368184
informed,3,44,0.9336816930164911
informed,3,45,0.9556314605118432
informed,3,46,0.932569836995303
informed,3,47,0.9418654389740193
informed,3,48,0.9935916395543727
informed,3,49,0.9317648789862893
informed,5,0,0.9507861310251391
informed,5,1,0.9072328871006352
informed,5,2,0.8763272915594897
informed,5,3,0.9768165745830497
informed,5,4,0.9111160760600538
informed,5,5,0.9491351758218245
informed,5,6,0.903786276524156
informed,5,7,0.9648457859417541
informed,5,8,0.8857296361351417
informed,5,9,0.923068945350833
informed,5,10,0.9346641675718614
informed,5,11,0.9628717648675635
informed,5,12,0.9692743764172336
informed,5,13,0.9216821024815276
informed,5,14,0.9023250892799766
informed,5,15,0.9572335749879373
informed,5,16,0.9191025619850599
informed,5,17,0.9842473246608587
informed,5,18,0.8582090929706498
informed,5,19,0.9393118755108267
informed,5,20,0.974051906225819
informed,5,21,0.8597422157606669
informed,5,22,0.9568870127199904
informed,5,23,0.8539193676911432
informed,5,24,0.9286886405279817
informed,5,25,0.9547931467787927
informed,5,26,0.9641097406417438
informed,5,27,0.8594691888710986
informed,5,28,0.9492825368673077
informed,5,29,0.9139504101969216
informed,5,30,0.9300583846379049
informed,5,31,0.9871504157218445
informed,5,32,0.8738873928271462
informed,5,33,0.9013080499344721
informed,5,34,0.9449218512436905
informed,5,35,0.9054351474481639
informed,5,36,0.9524458592365816
informed,5,37,0.8999561274911416
informed,5,38,0.9958592132505177
informed,5,39,0.9418824412760558
informed,5,40,0.9338984300228776
informed,5,41,0.9549286536187742
informed,5,42,0.9290335879901834
informed,5,43,0.8941217816998301
informed,5,44,0.8911141106939555
informed,5,45,0.9517537513392524
informed,5,46,0.9448444128609299
informed,5,47,0.9367173584680717
informed,5,48,0.9812825542116161
informed,5,49,0.8985159719101994
informed,8,0,0.9018333387949464
informed,8,1,0.9286714675462262
informed,8,2,0.8961119038769816
informed,8,3,0.8955392924738492
informed,8,4,0.8426307984670784
informed,8,5,0.8236550790961259
informed,8,6,0.8667853933351646
informed,8,7,0.9257416940299419
informed,8,8,0.8749639610675481
informed,8,9,0.9194469766395907
informed,8,10,0.8512461468410786
